mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
2	2	3	3	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	19								
2	2	4	4	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	20				3				
2	2	4	4	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	21				3				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22				3				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	23								
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	24		articTenutoAbove						
3	3	7	7	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	25								
3	3	7	7	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	26								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	27								
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	28		articTenutoAbove		4				
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	29		articTenutoAbove						
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	30		articTenutoAbove						
3	3	6	6	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	31								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	32								
3	3	6	6	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	33								
3	3	7	7	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	34								
3	3	7	7	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	35								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36								
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	37		articTenutoBelow		5				
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	38		articTenutoBelow		5				
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	39		articTenutoBelow						
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	40								
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	41								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	42				6				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	43								
4	4	9	9	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	44		articTenutoAbove						
4	4	9	9	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	45								
4	4	10	10	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	46								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	47				7				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	48								
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	49		articTenutoAbove						
5	5	13	13	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	50								
5	5	13	13	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	51								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	52								
5	5	14	14	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	53		articTenutoAbove		8				
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	54								
5	5	12	12	0.0	0	0	Dynamic	3/4	1	2	0					mf							
5	5	12	12	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	55								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	56								
5	5	12	12	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	57								
5	5	13	13	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	58								
5	5	13	13	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	59								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	60								
5	5	14	14	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	61		articTenutoAbove		9				
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	62								
5	5	12	12	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	63								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	64								
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	65				10				
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	66				10				
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	67				10				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	68								
6	6	15	15	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	69								
6	6	15	15	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	70								
6	6	16	16	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	71				11				
6	6	16	16	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	72				11				
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73				11				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74								
6	6	15	15	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	75								
6	6	15	15	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	76								
7	7	19	19	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	77								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	78								
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	1	1	0										0		
7	7	20	20	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	79		articTenutoAbove		12		0		
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	80						0		
7	7	18	18	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	81						0		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	82						0		
7	7	18	18	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	83						0		
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	84								
7	7	20	20	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	85		articTenutoAbove		13				
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	86								
7	7	18	18	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	87								
7	7	19	19	0.0	1/4	1/4	Chord	3/4	2	3	0	acciaccatura	1/8	1	88								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	89								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	90								
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	1	0												
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	91				14				
8	8	22	22	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	92				14				
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	93				14				
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	94								
8	8	21	21	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	95								
8	8	21	21	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	96								
8	8	22	22	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	97				15				
8	8	22	22	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	98				15				
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99				15				
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100								
8	8	21	21	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	101								
8	8	21	21	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	102								
9	9	25	25	0.0	1/4	1/4	Spanner	3/4	1	1	0									0			
9	9	25	25	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	103					0			
9	9	25	25	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	104					0			
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	105					0			
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	1	1	0												
9	9	26	26	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	106		articTenutoAbove		16				
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	107								
9	9	24	24	0.0	0	0	Dynamic	3/4	1	2	0					pp							
9	9	24	24	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	108								
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	109								
9	9	24	24	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	110								
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	111								
9	9	26	26	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	112		articTenutoAbove		17				
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	113								
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	114								
9	9	25	25	0.0	1/4	1/4	Chord	3/4	2	3	0	grace16	1/16	1	115								
9	9	25	25	0.0	1/4	1/4	Chord	3/4	2	3	0	grace16	1/16	1	116								
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	117								
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	118								
10	10	28	28	0.0	1/4	1/4	Spanner	3/4	1	1	0									1			
10	10	28	28	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	119				18	1			
10	10	28	28	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	120				18	1			
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	121				18	1			
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122					1			
10	10	27	27	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	123		articTenutoAbove			1			
10	10	27	27	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	124					1			
10	10	28	28	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	125				19				
10	10	28	28	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	126				19				
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	127				19				
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	128								
10	10	27	27	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	129		articTenutoAbove						
10	10	27	27	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	130								
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0												
11	11	31	31	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	131								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	132								
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	133		articTenutoAbove						
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	134		articTenutoAbove						
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	135		articTenutoAbove						
11	11	30	30	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	136								
11	11	30	30	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	137								
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	138								
11	11	30	30	0.0	0	0	StaffText	3/4	2	1	0							poco cresc.					
11	11	31	31	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	139								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	140								
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	141		articTenutoBelow						
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	142		articTenutoBelow						
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	143		articTenutoBelow						
11	11	30	30	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	144								
12	12	34	34	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	145								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	146				20				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	147								
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	148		articTenutoAbove						
12	12	33	33	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	149								
12	12	34	34	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	150								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	151				21				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152								
12	12	33	33	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	153								
12	12	33	33	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	154		articTenutoAbove						
13	13	37	37	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	155								
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	156								
13	13	38	38	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	2/3	157								
13	13	38	38	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	2/3	158								
13	13	38	38	0.6666666666666666	1/2	1/2	Chord	3/4	1	1	1/6		1/4	2/3	159								
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	160								
13	13	36	36	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	161								
13	13	36	36	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	162								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	163								
13	13	37	37	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	164								
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166								
13	13	36	36	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	167								
13	13	36	36	0.0	0	0	Dynamic	3/4	2	3	0					mf							
13	13	36	36	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	168								
14	14	40	40	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	169								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	170								
14	14	39	39	1.5	0	0	Chord	3/4	1	2	3/8		1/4	3/2	171		articTenutoAbove		22				
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	3/4	1	2	0											0	
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	172							0	
14	14	41	41	0.0	1/2	1/2	Spanner	3/4	1	2	0												
14	14	41	41	0.6666666666666666	1/2	1/2	Chord	3/4	1	2	1/6		1/4	2/3	173				23				
14	14	125/3	125/3	0.0	2/3	2/3	Spanner	3/4	1	2	0												0
14	14	125/3	125/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	2	1/12		1/8	2/3	174								0
14	14	39	39	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	175								0
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	176								0
14	14	40	40	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	177								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179								
14	14	39	39	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	180								
14	14	39	39	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	181								
15	15	43	43	0.0	1/4	1/4	Spanner	3/4	1	1	0										1		
15	15	43	43	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/8	1	182						1		
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	183						1		
15	15	42	42	0.0	0	0	Spanner	3/4	1	2	0										1		
15	15	42	42	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	184						1		
15	15	44	44	0.6666666666666666	1/2	1/2	Chord	3/4	1	2	1/6		1/4	2/3	185						1		
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	2	1/12		1/8	2/3	186						1		
15	15	42	42	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	187						1		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	188						1		
15	15	43	43	0.0	1/4	1/4	Chord	3/4	2	1	0	acciaccatura	1/8	1	189								
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191								
15	15	42	42	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	192								
15	15	42	42	2.0	0	0	Chord	3/4	2	3	1/2		1/2	1	193								
16	16	45	45	0.0	0	0	Spanner	3/4	1	1	0												
16	16	46	46	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	194								
16	16	46	46	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	195								
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	196								
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	197								
16	16	45	45	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	198								
16	16	45	45	0.0	0	0	Dynamic	3/4	1	3	0					pp							
16	16	45	45	3.0	0	0	Chord	3/4	1	3	3/4		1/2	3/2	199								
16	16	46	46	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	200								
16	16	46	46	0.0	1/4	1/4	Chord	3/4	2	1	0	grace16	1/16	1	201								
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	202								
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	203								
16	16	45	45	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	204								
16	16	45	45	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	205								
