mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	83									15	
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	84										
8	8	22	22	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	85									16	
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	86									16	
8	8	45/2	45/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	87									16	
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	88									16	
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	89		articAccentBelow								
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	90									17	
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	91									17	
8	8	22	22	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	92									17	
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	93									17	
8	8	45/2	45/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	94									17	
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	95									17	
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	96		articAccentBelow								
8	8	21	21	0.0	0	0	Dynamic	3/4	2	2	0				f									
8	8	21	21	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	97		articAccentAbove								
9	9	24	24	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	98		articAccentAbove							18	
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	99										
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	100										
9	9	25	25	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	101		articAccentAbove							19	
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	102										
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	103										
9	9	26	26	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	104		articAccentAbove							20	
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	105										
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	106										
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	107		articAccentAbove								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	108										
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	109		articAccentAbove								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	110										
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	111		articAccentAbove								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	112										
10	10	27	27	0.0	0	0	Spanner	3/4	1	1	0													1
10	10	27	27	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	113										1
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	114										1
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	115										1
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	116										1
10	10	28	28	0.0	1/4	1/4	Spanner	3/4	1	1	0													
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	117		articAccentAbove								
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	118									21	
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	119									21	
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	120									21	
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	121		articStaccatoAbove								
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	122										
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	123										
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	124										
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	125		articAccentAbove								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	126									22	
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	127		articStaccatoAbove								
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	128		articAccentAbove							23	
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	129										
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	130										
11	11	31	31	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	131		articAccentAbove							24	
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	132										
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	133										
11	11	32	32	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	134		articAccentAbove							25	
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	135										
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	136										
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	137		articAccentAbove								
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	138										
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	139		articAccentAbove								
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	140										
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	141		articAccentAbove								
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	142										
12	12	33	33	0.0	0	0	Spanner	3/4	1	1	0													2
12	12	33	33	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	143										2
12	12	133/4	133/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	144										2
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	145										2
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	146										2
12	12	34	34	0.0	1/4	1/4	Spanner	3/4	1	1	0													
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	147		articAccentAbove								
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	148									26	
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	149									26	
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	150									26	
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	151		articStaccatoAbove								
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	152										
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	153										
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	154										
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	155		articAccentAbove								
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	156									27	
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	157		articStaccatoAbove								
13	13	36	36	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	158		articAccentAbove							28	
13	13	145/4	145/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	159										
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	160										
13	13	37	37	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	161		articAccentAbove							29	
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	162										
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	163										
13	13	38	38	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	164		articAccentAbove							30	
13	13	153/4	153/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	165										
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	166										
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	167		articAccentAbove								
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	168										
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	169		articAccentAbove								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	170										
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	171		articAccentAbove								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	172										
14	14	39	39	0.0	0	0	Spanner	3/4	1	1	0													3
14	14	39	39	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	173										3
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	174										3
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	175										3
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	176										3
14	14	40	40	0.0	1/4	1/4	Spanner	3/4	1	1	0													
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	177		articAccentAbove								
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	178									31	
14	14	81/2	81/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16	1/16	1	179									31	
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16	1/16	1	180									31	
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	181		articStaccatoAbove								
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	182										
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	183										
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	184										
14	14	40	40	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	185		articAccentAbove								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	186									32	
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	187		articStaccatoAbove								
15	15	169/4	169/4	0.0	1/16	1/16	StaffText	3/4	1	1	0						m.g.							
15	15	169/4	169/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	188										
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	189										
15	15	43	43	0.0	1/4	1/4	Dynamic	3/4	1	1	0				sf									
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	190										
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	191										
15	15	42	42	0.0	0	0	Spanner	3/4	2	1	0													4
15	15	42	42	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	192										4
15	15	169/4	169/4	0.0	1/16	1/16	Spanner	3/4	2	1	0													
15	15	85/2	85/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	193										
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	194										
16	16	45	45	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	195		articAccentAbove								
16	16	181/4	181/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	196									33	
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	197										
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	198									34	
16	16	46	46	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	199										
16	16	185/4	185/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	200									35	
16	16	93/2	93/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	201										
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	202									36	
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	203		articAccentAbove								
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	204										
