mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	TextLine
3	2	21/4	21/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	19							4			
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	20										
3	2	6	6	0.16666666666666666	3/8	3/8	Chord	4/4	1	2	1/24	1/16	2/3	21							5			
3	2	37/6	37/6	0.16666666666666666	5/12	5/12	Chord	4/4	1	2	1/24	1/16	2/3	22							5			
3	2	19/3	19/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	2	1/24	1/16	2/3	23							5			
3	2	13/2	13/2	0.16666666666666666	1/2	1/2	Chord	4/4	1	2	1/24	1/16	2/3	24		articAccentAbove					5			
3	2	20/3	20/3	0.16666666666666666	13/24	13/24	Chord	4/4	1	2	1/24	1/16	2/3	25							5			
3	2	41/6	41/6	0.16666666666666666	7/12	7/12	Chord	4/4	1	2	1/24	1/16	2/3	26							5			
3	2	7	7	0.16666666666666666	5/8	5/8	Chord	4/4	1	2	1/24	1/16	2/3	27							5			
3	2	43/6	43/6	0.16666666666666666	2/3	2/3	Chord	4/4	1	2	1/24	1/16	2/3	28							5			
3	2	22/3	22/3	0.16666666666666666	17/24	17/24	Chord	4/4	1	2	1/24	1/16	2/3	29							5			
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	30		articStaccatoBelow								
3	2	9/2	9/2	0.0	0	0	Spanner	4/4	2	1	0													
3	2	9/2	9/2	0.0	0	0	Spanner	4/4	2	1	0													
3	2	5	5	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	31							6			
3	2	21/4	21/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	32							6			
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	33										
3	2	6	6	0.0	3/8	3/8	Spanner	4/4	2	1	0												0	
3	2	6	6	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	34							7		0	
3	2	37/6	37/6	0.0	5/12	5/12	Spanner	4/4	2	1	0										7			
3	2	37/6	37/6	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	35							7			
3	2	19/3	19/3	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	36							7			
3	2	13/2	13/2	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	37		articAccentAbove					7			
3	2	20/3	20/3	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	38							7			
3	2	41/6	41/6	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	39							7			
3	2	7	7	0.0	5/8	5/8	Spanner	4/4	2	1	0										7	0		
3	2	7	7	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	40							7	0		
3	2	43/6	43/6	0.0	2/3	2/3	Spanner	4/4	2	1	0										7			
3	2	43/6	43/6	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	41							7			
3	2	22/3	22/3	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	42							7			
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	43		articStaccatoBelow								
3	2	8	8	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	44		articStaccatoBelow								
4	3	17/2	17/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	45										
4	3	21/2	21/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	46		articTenutoAbove								
4	3	9	9	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	47							8			
4	3	37/4	37/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	48							8			
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	49										
4	3	11	11	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	50							9			
4	3	45/4	45/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	51							9			
4	3	23/2	23/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	52										
4	3	9	9	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	53							10			
4	3	37/4	37/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	54							10			
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	55										
4	3	10	10	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	56		articStaccatoAbove								
4	3	11	11	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	57							11			
4	3	45/4	45/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	58							11			
4	3	23/2	23/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	59										
4	3	12	12	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	60		articStaccatoAbove								
5	4	25/2	25/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	61		articTenutoAbove								
5	4	14	14	0.0	3/8	3/8	Spanner	4/4	1	1	0												1	
5	4	29/2	29/2	0.0	1/2	1/2	Spanner	4/4	1	1	0													
5	4	91/6	91/6	0.0	2/3	2/3	Spanner	4/4	1	1	0											1		
5	4	16	16	0.0	7/8	7/8	Spanner	4/4	1	1	0													
5	4	13	13	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	62							12			
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	63							12			
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	64										
5	4	14	14	0.16666666666666666	3/8	3/8	Chord	4/4	1	2	1/24	1/16	2/3	65							13			
5	4	85/6	85/6	0.16666666666666666	5/12	5/12	Chord	4/4	1	2	1/24	1/16	2/3	66							13			
5	4	43/3	43/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	2	1/24	1/16	2/3	67							13			
5	4	29/2	29/2	0.16666666666666666	1/2	1/2	Chord	4/4	1	2	1/24	1/16	2/3	68		articAccentAbove					13			
5	4	44/3	44/3	0.16666666666666666	13/24	13/24	Chord	4/4	1	2	1/24	1/16	2/3	69							13			
5	4	89/6	89/6	0.16666666666666666	7/12	7/12	Chord	4/4	1	2	1/24	1/16	2/3	70							13			
5	4	15	15	0.16666666666666666	5/8	5/8	Chord	4/4	1	2	1/24	1/16	2/3	71							13			
5	4	91/6	91/6	0.16666666666666666	2/3	2/3	Chord	4/4	1	2	1/24	1/16	2/3	72							13			
5	4	46/3	46/3	0.16666666666666666	17/24	17/24	Chord	4/4	1	2	1/24	1/16	2/3	73							13			
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	74		articStaccatoAbove								
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	75		articStaccatoBelow								
5	4	13	13	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	76							14			
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	77							14			
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	78										
5	4	14	14	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	79							15			
5	4	85/6	85/6	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	80							15			
5	4	43/3	43/3	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	81							15			
5	4	29/2	29/2	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	82		articAccentAbove					15			
5	4	44/3	44/3	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	83							15			
5	4	89/6	89/6	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	84							15			
5	4	15	15	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	85							15			
5	4	91/6	91/6	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	86							15			
5	4	46/3	46/3	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	87							15			
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	88		articStaccatoBelow								
5	4	16	16	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	89		articStaccatoBelow								
6	5	33/2	33/2	0.0	0	0	Dynamic	4/4	1	1	0				f									
6	5	33/2	33/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	90		articAccentAbove								
6	5	18	18	0.0	3/8	3/8	StaffText	4/4	1	1	0						dim.							
6	5	18	18	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	91										
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	92		articTenutoAbove								
6	5	20	20	0.0	7/8	7/8	Dynamic	4/4	1	1	0				f									
6	5	20	20	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	93		articStaccatoAbove								
6	5	17	17	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	94							16			
6	5	69/4	69/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	95							16			
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	96										
6	5	19	19	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	97							17			
6	5	77/4	77/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	98							17			
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	99										
6	5	33/2	33/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	100		articAccentAbove								
6	5	18	18	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	101		articStaccatoBelow								
6	5	37/2	37/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	102		articTenutoAbove								
6	5	20	20	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	103		articStaccatoBelow								
6	5	17	17	0.25	1/8	1/8	Chord	4/4	2	2	1/16	1/16	1	104							18			
6	5	69/4	69/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	105							18			
6	5	35/2	35/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	106										
6	5	19	19	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	107							19			
6	5	77/4	77/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	108							19			
6	5	39/2	39/2	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	109										
7	6	41/2	41/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	110		articAccentAbove								
7	6	22	22	0.0	3/8	3/8	StaffText	4/4	1	1	0						dim.							
7	6	22	22	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	111		articStaccatoAbove								
7	6	45/2	45/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	112		articTenutoAbove								
7	6	24	24	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	113		articStaccatoBelow								
7	6	21	21	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	114							20			
7	6	85/4	85/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	115							20			
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	116										
7	6	23	23	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	117							21			
7	6	93/4	93/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	118							21			
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	119										
7	6	41/2	41/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	120		articAccentAbove								
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	121		articStaccatoBelow								
7	6	45/2	45/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	122		articTenutoAbove								
7	6	24	24	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	123		articStaccatoBelow								
7	6	21	21	0.25	1/8	1/8	Chord	4/4	2	2	1/16	1/16	1	124							22			
7	6	85/4	85/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	125							22			
7	6	43/2	43/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	126										
7	6	23	23	0.25	5/8	5/8	Chord	4/4	2	2	1/16	1/16	1	127							23			
7	6	93/4	93/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	128							23			
7	6	47/2	47/2	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	129										
8	7	49/2	49/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	130		articStaccatoBelow								
8	7	25	25	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	131		articTenutoAbove								
8	7	26	26	1.0	3/8	3/8	Chord	4/4	1	1	1/4	1/4	1	132		articTenutoAbove								
8	7	27	27	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	133		articStaccatoBelow								
8	7	55/2	55/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	134		articStaccatoBelow								
8	7	28	28	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	135							24			
8	7	113/4	113/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	136							24			
8	7	28	28	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	137										
8	7	49/2	49/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	138		articStaccatoBelow								
8	7	25	25	0.0	1/8	1/8	StaffText	4/4	2	1	0						cresc.							
8	7	25	25	1.0	1/8	1/8	Chord	4/4	2	1	1/4	1/4	1	139		articTenutoAbove								
8	7	26	26	0.0	3/8	3/8	Spanner	4/4	2	1	0													3
8	7	26	26	1.0	3/8	3/8	Chord	4/4	2	1	1/4	1/4	1	140		articTenutoAbove								3
8	7	27	27	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	141		articStaccatoBelow								3
8	7	55/2	55/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	142		articStaccatoBelow								3
8	7	28	28	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	143							25			3
8	7	113/4	113/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	144							25			3
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	145		articAccentAbove								
9	8	29	29	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	146							26			
9	8	175/6	175/6	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	147							26			
9	8	88/3	88/3	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	148							26			
9	8	241/8	241/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	149							26			
9	8	121/4	121/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	150							26			
9	8	243/8	243/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	151							26			
9	8	61/2	61/2	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	152		articAccentAbove					26			
9	8	92/3	92/3	0.16666666666666666	13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	153							26			
9	8	185/6	185/6	0.16666666666666666	7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	154							26			
9	8	31	31	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	155		articAccentAbove								
9	8	32	32	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	156		articStaccatoAbove								
9	8	57/2	57/2	0.0	0	0	Dynamic	4/4	2	1	0				f									
9	8	57/2	57/2	0.0	0	0	Spanner	4/4	2	1	0													
9	8	57/2	57/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	157		articAccentAbove								
9	8	59/2	59/2	0.0	1/4	1/4	StaffText	4/4	2	1	0						"m.g.
"							
9	8	59/2	59/2	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	158		articStaccatoBelow								
9	8	89/3	89/3	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	159										
9	8	179/6	179/6	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	160										
9	8	30	30	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	161										
9	8	32	32	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	162		articStaccatoBelow								
10	9	65/2	65/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	163		articAccentAbove								
10	9	69/2	69/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	164		articTenutoAbove								
10	9	71/2	71/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	165		articStaccatoAbove								
10	9	65/2	65/2	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	166										
10	9	34	34	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	167		articStaccatoAbove								
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	168		articStaccatoAbove								
10	9	35	35	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	169		articStaccatoAbove								
10	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	170		articStaccatoAbove								
10	9	36	36	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	171		articStaccatoAbove								
10	9	33	33	0.25	1/8	1/8	Chord	4/4	1	3	1/16	1/16	1	172		articStaccatoAbove					27			
10	9	133/4	133/4	0.25	3/16	3/16	Chord	4/4	1	3	1/16	1/16	1	173										
10	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	1	3	1/8	1/8	1	174										
10	9	65/2	65/2	0.0	0	0	Dynamic	4/4	2	1	0				f									
10	9	65/2	65/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	175		articAccentBelow								
10	9	34	34	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	176		articStaccatoBelow								
10	9	69/2	69/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	177		articAccentBelow								
10	9	35	35	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	178		articStaccatoBelow								
10	9	71/2	71/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	179		articAccentBelow								
10	9	36	36	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	180		articStaccatoBelow								
10	9	33	33	0.25	1/8	1/8	Chord	4/4	2	2	1/16	1/16	1	181							28			
10	9	133/4	133/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	182							28			
10	9	67/2	67/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	183										
11	10	37	37	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	184							29			
11	10	223/6	223/6	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	185							29			
11	10	112/3	112/3	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	186							29			
11	10	305/8	305/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	187							29			
11	10	153/4	153/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	188							29			
11	10	307/8	307/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	189							29			
11	10	77/2	77/2	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	190		articAccentAbove					29			
11	10	116/3	116/3	0.16666666666666666	13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	191							29			
11	10	233/6	233/6	0.16666666666666666	7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	192							29			
11	10	39	39	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	193		articAccentAbove								
11	10	40	40	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	194										
11	10	73/2	73/2	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	195		articAccentAbove								
11	10	75/2	75/2	0.0	1/4	1/4	StaffText	4/4	2	1	0						"m.g.
"							
11	10	75/2	75/2	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	196		articStaccatoBelow								
11	10	113/3	113/3	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	197										
11	10	227/6	227/6	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	198										
11	10	38	38	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	199										
11	10	40	40	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	200										
11	10	73/2	73/2	2.0	0	0	Chord	4/4	2	3	1/2	1/2	1	201		articAccentAbove								
12	11	81/2	81/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	202		articAccentBelow								
12	11	85/2	85/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	203		articTenutoAbove								
12	11	87/2	87/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	204		articTenutoAbove								
12	11	81/2	81/2	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	205										
12	11	42	42	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	206		articStaccatoAbove								
12	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	207		articStaccatoAbove								
12	11	43	43	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	208		articStaccatoAbove								
12	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	209		articStaccatoAbove								
12	11	44	44	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	210										
12	11	41	41	0.25	1/8	1/8	Chord	4/4	1	3	1/16	1/16	1	211							30			
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	1	3	1/16	1/16	1	212							30			
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	1	3	1/8	1/8	1	213										
12	11	81/2	81/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	214		articAccentBelow								
12	11	42	42	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	215										
12	11	85/2	85/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	216		articAccentBelow								
12	11	43	43	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	217										
12	11	87/2	87/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	218		articAccentBelow								
12	11	44	44	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	219										
12	11	41	41	0.25	1/8	1/8	Chord	4/4	2	2	1/16	1/16	1	220							31			
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	221							31			
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	222										
13	12	45	45	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	223							32			
13	12	271/6	271/6	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	224							32			
13	12	136/3	136/3	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	225							32			
13	12	369/8	369/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	226							32			
13	12	185/4	185/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	227							32			
13	12	371/8	371/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	228							32			
13	12	93/2	93/2	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	229		articAccentAbove					32			
13	12	140/3	140/3	0.16666666666666666	13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	230							32			
13	12	281/6	281/6	0.16666666666666666	7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	231							32			
13	12	47	47	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	232		articAccentAbove								
13	12	48	48	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	233		articStaccatoBelow								
13	12	89/2	89/2	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	234		articAccentAbove								
13	12	91/2	91/2	0.0	1/4	1/4	StaffText	4/4	2	1	0						"m.g.
"							
