mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8vb	Ottava:8va	decrescendo_hairpin
1	1	9/4	9/4	0.25	9/16	9/16	Chord	9/8	4	1	1/16	1/16	1	37									10			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8	1/8	1	38		articStaccatoBelow										
1	1	3	3	0.5	3/4	3/4	Chord	9/8	4	1	1/8	1/8	1	39		articAccentBelow										
1	1	15/4	15/4	0.25	15/16	15/16	Chord	9/8	4	1	1/16	1/16	1	40									11			
1	1	4	4	0.5	1	1	Chord	9/8	4	1	1/8	1/8	1	41		articStaccatoBelow										
2	2	9/2	9/2	0.0	0	0	StaffText	9/8	1	1	0						dim.									
2	2	9/2	9/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	42		articAccentAbove										
2	2	21/4	21/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	43									12			
2	2	43/8	43/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	44									12			
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	45		articStaccatoAbove										
2	2	6	6	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	46		articAccentAbove										
2	2	27/4	27/4	0.125	9/16	9/16	Chord	9/8	1	1	1/32	1/32	1	47									13			
2	2	55/8	55/8	0.125	19/32	19/32	Chord	9/8	1	1	1/32	1/32	1	48									13			
2	2	7	7	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	49		articStaccatoAbove										
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	50		articAccentAbove										
2	2	33/4	33/4	0.125	15/16	15/16	Chord	9/8	1	1	1/32	1/32	1	51									14			
2	2	67/8	67/8	0.125	31/32	31/32	Chord	9/8	1	1	1/32	1/32	1	52									14			
2	2	17/2	17/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	53		articStaccatoAbove										
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	54		articAccentBelow										
2	2	21/4	21/4	0.125	3/16	3/16	Chord	9/8	2	1	1/32	1/32	1	55									15			
2	2	43/8	43/8	0.125	7/32	7/32	Chord	9/8	2	1	1/32	1/32	1	56									15			
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	57		articStaccatoBelow										
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	58		articAccentBelow										
2	2	27/4	27/4	0.125	9/16	9/16	Chord	9/8	2	1	1/32	1/32	1	59									16			
2	2	55/8	55/8	0.125	19/32	19/32	Chord	9/8	2	1	1/32	1/32	1	60									16			
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	61		articStaccatoBelow										
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	62		articAccentBelow										
2	2	33/4	33/4	0.125	15/16	15/16	Chord	9/8	2	1	1/32	1/32	1	63									17			
2	2	67/8	67/8	0.125	31/32	31/32	Chord	9/8	2	1	1/32	1/32	1	64									17			
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	65		articStaccatoBelow										
2	2	9/2	9/2	0.5	0	0	Chord	9/8	3	1	1/8	1/8	1	66		articAccentAbove										
2	2	21/4	21/4	0.25	3/16	3/16	Chord	9/8	3	1	1/16	1/16	1	67									18			
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8	1/8	1	68		articStaccatoAbove										
2	2	6	6	0.5	3/8	3/8	Chord	9/8	3	1	1/8	1/8	1	69		articAccentAbove										
2	2	27/4	27/4	0.25	9/16	9/16	Chord	9/8	3	1	1/16	1/16	1	70									19			
2	2	7	7	0.5	5/8	5/8	Chord	9/8	3	1	1/8	1/8	1	71		articStaccatoAbove										
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	3	1	1/8	1/8	1	72		articAccentAbove										
2	2	33/4	33/4	0.25	15/16	15/16	Chord	9/8	3	1	1/16	1/16	1	73									20			
2	2	17/2	17/2	0.5	1	1	Chord	9/8	3	1	1/8	1/8	1	74		articStaccatoAbove										
2	2	9/2	9/2	0.0	0	0	StaffText	9/8	4	1	0						dim.									
2	2	9/2	9/2	0.0	0	0	Spanner	9/8	4	1	0													0		
2	2	9/2	9/2	0.5	0	0	Chord	9/8	4	1	1/8	1/8	1	75		articAccentBelow								0		
2	2	21/4	21/4	0.25	3/16	3/16	Chord	9/8	4	1	1/16	1/16	1	76									21	0		
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8	1/8	1	77		articStaccatoBelow								0		
2	2	6	6	0.5	3/8	3/8	Chord	9/8	4	1	1/8	1/8	1	78		articAccentBelow								0		
2	2	27/4	27/4	0.25	9/16	9/16	Chord	9/8	4	1	1/16	1/16	1	79									22	0		
2	2	7	7	0.5	5/8	5/8	Chord	9/8	4	1	1/8	1/8	1	80		articStaccatoBelow								0		
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	4	1	1/8	1/8	1	81		articAccentBelow								0		
2	2	33/4	33/4	0.25	15/16	15/16	Chord	9/8	4	1	1/16	1/16	1	82									23	0		
2	2	17/2	17/2	0.5	1	1	Chord	9/8	4	1	1/8	1/8	1	83		articStaccatoBelow								0		
3	3	9	9	0.0	0	0	Dynamic	9/8	1	1	0				p											
3	3	9	9	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	84		articAccentAbove										
3	3	39/4	39/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	85									24			
3	3	79/8	79/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	86									24			
3	3	10	10	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	87		articStaccatoAbove										
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	88		articAccentAbove										
3	3	45/4	45/4	0.125	9/16	9/16	Chord	9/8	1	1	1/32	1/32	1	89									25			
3	3	91/8	91/8	0.125	19/32	19/32	Chord	9/8	1	1	1/32	1/32	1	90									25			
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	91		articStaccatoAbove										
3	3	12	12	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	92		articStaccatoAbove										
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	93		articStaccatoAbove										
3	3	13	13	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	94		articStaccatoAbove										
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	95		articAccentBelow										
3	3	39/4	39/4	0.125	3/16	3/16	Chord	9/8	2	1	1/32	1/32	1	96									26			
3	3	79/8	79/8	0.125	7/32	7/32	Chord	9/8	2	1	1/32	1/32	1	97									26			
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	98		articStaccatoBelow										
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	99		articAccentBelow										
3	3	45/4	45/4	0.125	9/16	9/16	Chord	9/8	2	1	1/32	1/32	1	100									27			
3	3	91/8	91/8	0.125	19/32	19/32	Chord	9/8	2	1	1/32	1/32	1	101									27			
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	102		articStaccatoBelow										
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	103		articStaccatoBelow										
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	104		articStaccatoBelow										
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	105		articStaccatoBelow										
3	3	9	9	0.0	0	0	Dynamic	9/8	3	1	0				p											
3	3	9	9	0.5	0	0	Chord	9/8	3	1	1/8	1/8	1	106		articAccentAbove										
3	3	39/4	39/4	0.25	3/16	3/16	Chord	9/8	3	1	1/16	1/16	1	107									28			
3	3	10	10	0.5	1/4	1/4	Chord	9/8	3	1	1/8	1/8	1	108		articStaccatoAbove										
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8	1/8	1	109		articAccentAbove										
3	3	45/4	45/4	0.25	9/16	9/16	Chord	9/8	3	1	1/16	1/16	1	110									29			
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8	1/8	1	111		articStaccatoAbove										
3	3	12	12	0.5	3/4	3/4	Chord	9/8	3	1	1/8	1/8	1	112		articAccentAbove										
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	3	1	1/8	1/8	1	113		articStaccatoAbove										
3	3	13	13	0.5	1	1	Chord	9/8	3	1	1/8	1/8	1	114		articStaccatoAbove										
3	3	9	9	0.0	0	0	Spanner	9/8	4	1	0															
3	3	9	9	0.5	0	0	Chord	9/8	4	1	1/8	1/8	1	115		articAccentBelow										
3	3	39/4	39/4	0.25	3/16	3/16	Chord	9/8	4	1	1/16	1/16	1	116									30			
3	3	10	10	0.5	1/4	1/4	Chord	9/8	4	1	1/8	1/8	1	117		articStaccatoBelow										
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8	1/8	1	118		articAccentBelow										
3	3	45/4	45/4	0.25	9/16	9/16	Chord	9/8	4	1	1/16	1/16	1	119									31			
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8	1/8	1	120		articStaccatoBelow										
3	3	12	12	0.5	3/4	3/4	Chord	9/8	4	1	1/8	1/8	1	121		articAccentBelow										
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	4	1	1/8	1/8	1	122												
3	3	13	13	0.5	1	1	Chord	9/8	4	1	1/8	1/8	1	123		articStaccatoBelow										
4	4	27/2	27/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	124												
4	4	57/4	57/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	125									32			
4	4	115/8	115/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	126									32			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	127		articStaccatoAbove										
4	4	15	15	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	128												
4	4	63/4	63/4	0.125	9/16	9/16	Chord	9/8	1	1	1/32	1/32	1	129									33			
4	4	127/8	127/8	0.125	19/32	19/32	Chord	9/8	1	1	1/32	1/32	1	130									33			
4	4	16	16	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	131		articStaccatoAbove										
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	132												
4	4	17	17	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	133												
4	4	35/2	35/2	0.5	1	1	Chord	9/8	1	1	1/8	1/8	1	134												
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	135												
4	4	57/4	57/4	0.125	3/16	3/16	Chord	9/8	2	1	1/32	1/32	1	136									34			
4	4	115/8	115/8	0.125	7/32	7/32	Chord	9/8	2	1	1/32	1/32	1	137									34			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	138		articStaccatoBelow										
4	4	15	15	0.0	3/8	3/8	Spanner	9/8	2	1	0													1		
4	4	15	15	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	139										1		
4	4	63/4	63/4	0.125	9/16	9/16	Chord	9/8	2	1	1/32	1/32	1	140									35	1		
4	4	127/8	127/8	0.125	19/32	19/32	Chord	9/8	2	1	1/32	1/32	1	141									35	1		
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	142		articStaccatoBelow								1		
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8	1/8	1	143		articStaccatoBelow								1		
4	4	17	17	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	144		articStaccatoBelow								1		
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	145		articStaccatoBelow								1		
4	4	27/2	27/2	0.0	0	0	StaffText	9/8	3	1	0						dim.									
4	4	27/2	27/2	0.5	0	0	Chord	9/8	3	1	1/8	1/8	1	146		articAccentAbove										
4	4	57/4	57/4	0.25	3/16	3/16	Chord	9/8	3	1	1/16	1/16	1	147									36			
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8	1/8	1	148		articStaccatoAbove										
4	4	15	15	0.5	3/8	3/8	Chord	9/8	3	1	1/8	1/8	1	149												
4	4	63/4	63/4	0.25	9/16	9/16	Chord	9/8	3	1	1/16	1/16	1	150									37			
4	4	16	16	0.5	5/8	5/8	Chord	9/8	3	1	1/8	1/8	1	151		articStaccatoAbove										
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	3	1	1/8	1/8	1	152												
4	4	17	17	0.5	7/8	7/8	Chord	9/8	3	1	1/8	1/8	1	153		articStaccatoAbove										
4	4	35/2	35/2	0.5	1	1	Chord	9/8	3	1	1/8	1/8	1	154		articStaccatoAbove										
4	4	27/2	27/2	0.0	0	0	Spanner	9/8	4	1	0													2		
4	4	27/2	27/2	0.5	0	0	Chord	9/8	4	1	1/8	1/8	1	155										2		
4	4	57/4	57/4	0.25	3/16	3/16	Chord	9/8	4	1	1/16	1/16	1	156									38	2		
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8	1/8	1	157		articStaccatoBelow								2		
4	4	15	15	0.5	3/8	3/8	Chord	9/8	4	1	1/8	1/8	1	158										2		
4	4	63/4	63/4	0.25	9/16	9/16	Chord	9/8	4	1	1/16	1/16	1	159									39	2		
4	4	16	16	0.5	5/8	5/8	Chord	9/8	4	1	1/8	1/8	1	160		articStaccatoBelow								2		
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	4	1	1/8	1/8	1	161		articStaccatoBelow								2		
4	4	17	17	0.5	7/8	7/8	Chord	9/8	4	1	1/8	1/8	1	162		articStaccatoBelow								2		
4	4	35/2	35/2	0.5	1	1	Chord	9/8	4	1	1/8	1/8	1	163		articStaccatoBelow								2		
5	5	18	18	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	164		articAccentBelow										
5	5	75/4	75/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	165									40			
5	5	151/8	151/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	166									40			
5	5	19	19	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	167		articStaccatoBelow										
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	168		articAccentBelow										
5	5	81/4	81/4	0.125	9/16	9/16	Chord	9/8	1	1	1/32	1/32	1	169									41			
5	5	163/8	163/8	0.125	19/32	19/32	Chord	9/8	1	1	1/32	1/32	1	170									41			
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	171		articStaccatoBelow										
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	172												
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	1	2	1/8	1/8	1	173		articStaccatoBelow										
5	5	22	22	0.5	1	1	Chord	9/8	1	2	1/8	1/8	1	174		articStaccatoBelow										
5	5	18	18	0.0	0	0	Dynamic	9/8	2	1	0				mf											
5	5	18	18	0.0	0	0	Spanner	9/8	2	1	0															
5	5	18	18	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	175		articAccentBelow										
5	5	75/4	75/4	0.125	3/16	3/16	Chord	9/8	2	1	1/32	1/32	1	176									42			
5	5	151/8	151/8	0.125	7/32	7/32	Chord	9/8	2	1	1/32	1/32	1	177									42			
5	5	19	19	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	178		articStaccatoBelow										
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	179		articAccentBelow										
5	5	81/4	81/4	0.125	9/16	9/16	Chord	9/8	2	1	1/32	1/32	1	180									43			
5	5	163/8	163/8	0.125	19/32	19/32	Chord	9/8	2	1	1/32	1/32	1	181									43			
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	182		articStaccatoBelow										
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	183		articStaccatoBelow										
5	5	22	22	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	184		articStaccatoBelow										
5	5	18	18	0.5	0	0	Chord	9/8	3	1	1/8	1/8	1	185		articAccentBelow										
5	5	75/4	75/4	0.25	3/16	3/16	Chord	9/8	3	1	1/16	1/16	1	186									44			
5	5	19	19	0.5	1/4	1/4	Chord	9/8	3	1	1/8	1/8	1	187		articStaccatoBelow										
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	3	1	1/8	1/8	1	188		articAccentBelow										
5	5	81/4	81/4	0.25	9/16	9/16	Chord	9/8	3	1	1/16	1/16	1	189									45			
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	3	1	1/8	1/8	1	190		articStaccatoBelow										
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	3	1	1/8	1/8	1	191		articAccentBelow										
5	5	22	22	0.5	1	1	Chord	9/8	3	1	1/8	1/8	1	192		articStaccatoBelow										
5	5	18	18	0.0	0	0	Dynamic	9/8	4	1	0				mf											
5	5	18	18	0.0	0	0	Spanner	9/8	4	1	0															
5	5	18	18	0.5	0	0	Chord	9/8	4	1	1/8	1/8	1	193		articAccentBelow										
5	5	75/4	75/4	0.25	3/16	3/16	Chord	9/8	4	1	1/16	1/16	1	194									46			
5	5	19	19	0.5	1/4	1/4	Chord	9/8	4	1	1/8	1/8	1	195		articStaccatoBelow										
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	4	1	1/8	1/8	1	196		articAccentBelow										
5	5	81/4	81/4	0.25	9/16	9/16	Chord	9/8	4	1	1/16	1/16	1	197									47			
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	4	1	1/8	1/8	1	198		articStaccatoBelow										
5	5	43/2	43/2	0.0	7/8	7/8	Spanner	9/8	4	1	0															0
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	4	1	1/8	1/8	1	199		articAccentBelow										0
5	5	22	22	0.0	1	1	Spanner	9/8	4	1	0															
5	5	22	22	0.5	1	1	Chord	9/8	4	1	1/8	1/8	1	200		articStaccatoBelow										
6	6	45/2	45/2	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	201												
6	6	93/4	93/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	202									48			
6	6	187/8	187/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	203									48			
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	204		articStaccatoBelow										
6	6	24	24	0.0	3/8	3/8	StaffText	9/8	1	1	0						dim.									
6	6	24	24	0.5	3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	205												
6	6	99/4	99/4	0.125	9/16	9/16	Chord	9/8	1	1	1/32	1/32	1	206									49			
6	6	199/8	199/8	0.125	19/32	19/32	Chord	9/8	1	1	1/32	1/32	1	207									49			
6	6	25	25	0.5	5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	208		articStaccatoBelow										
6	6	26	26	0.5	7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	209												
6	6	26	26	0.5	7/8	7/8	Chord	9/8	1	2	1/8	1/8	1	210		articStaccatoBelow										
6	6	53/2	53/2	0.5	1	1	Chord	9/8	1	2	1/8	1/8	1	211		articStaccatoBelow										
6	6	45/2	45/2	0.5	0	0	Chord	9/8	2	1	1/8	1/8	1	212												
6	6	93/4	93/4	0.125	3/16	3/16	Chord	9/8	2	1	1/32	1/32	1	213									50			
6	6	187/8	187/8	0.125	7/32	7/32	Chord	9/8	2	1	1/32	1/32	1	214									50			
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8	1/8	1	215		articStaccatoBelow										
6	6	24	24	0.5	3/8	3/8	Chord	9/8	2	1	1/8	1/8	1	216												
6	6	99/4	99/4	0.125	9/16	9/16	Chord	9/8	2	1	1/32	1/32	1	217									51			
6	6	199/8	199/8	0.125	19/32	19/32	Chord	9/8	2	1	1/32	1/32	1	218									51			
6	6	25	25	0.5	5/8	5/8	Chord	9/8	2	1	1/8	1/8	1	219		articStaccatoBelow										
6	6	26	26	0.5	7/8	7/8	Chord	9/8	2	1	1/8	1/8	1	220		articStaccatoBelow										
6	6	53/2	53/2	0.5	1	1	Chord	9/8	2	1	1/8	1/8	1	221		articStaccatoBelow										
6	6	45/2	45/2	0.5	0	0	Chord	9/8	3	1	1/8	1/8	1	222		articAccentBelow										
6	6	93/4	93/4	0.25	3/16	3/16	Chord	9/8	3	1	1/16	1/16	1	223									52			
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	3	1	1/8	1/8	1	224		articStaccatoBelow										
6	6	24	24	0.5	3/8	3/8	Chord	9/8	3	1	1/8	1/8	1	225		articAccentBelow										
6	6	99/4	99/4	0.25	9/16	9/16	Chord	9/8	3	1	1/16	1/16	1	226									53			
6	6	25	25	0.5	5/8	5/8	Chord	9/8	3	1	1/8	1/8	1	227		articStaccatoBelow										
6	6	26	26	0.5	7/8	7/8	Chord	9/8	3	1	1/8	1/8	1	228		articAccentBelow										
6	6	53/2	53/2	0.5	1	1	Chord	9/8	3	1	1/8	1/8	1	229		articStaccatoBelow										
6	6	45/2	45/2	0.0	0	0	Dynamic	9/8	4	1	0				mf											
6	6	45/2	45/2	0.5	0	0	Chord	9/8	4	1	1/8	1/8	1	230		articAccentBelow										
6	6	93/4	93/4	0.25	3/16	3/16	Chord	9/8	4	1	1/16	1/16	1	231									54			
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	4	1	1/8	1/8	1	232		articStaccatoBelow										
6	6	24	24	0.5	3/8	3/8	Chord	9/8	4	1	1/8	1/8	1	233		articAccentBelow										
6	6	99/4	99/4	0.25	9/16	9/16	Chord	9/8	4	1	1/16	1/16	1	234									55			
6	6	25	25	0.5	5/8	5/8	Chord	9/8	4	1	1/8	1/8	1	235		articStaccatoBelow										
6	6	26	26	0.0	7/8	7/8	Spanner	9/8	4	1	0															1
6	6	26	26	0.5	7/8	7/8	Chord	9/8	4	1	1/8	1/8	1	236		articAccentBelow										1
6	6	53/2	53/2	0.0	1	1	Spanner	9/8	4	1	0															
6	6	53/2	53/2	0.5	1	1	Chord	9/8	4	1	1/8	1/8	1	237		articStaccatoBelow										
7	7	27	27	0.5	0	0	Chord	9/8	1	1	1/8	1/8	1	238		articStaccatoBelow										
7	7	111/4	111/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32	1/32	1	239									56			
7	7	223/8	223/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32	1/32	1	240									56			
