mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	diminuendo_line
15	15	57	57	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	256									55				
15	15	115/2	115/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	257									55				
15	15	58	58	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	258													
15	15	117/2	117/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	259									56				
15	15	59	59	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	260									56				
15	15	119/2	119/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	261													
15	15	60	60	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	262									57				
15	15	121/2	121/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	263									57				
15	15	61	61	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	264													
15	15	57	57	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	265													
15	15	117/2	117/2	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	266													
15	15	60	60	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	267													
16	16	123/2	123/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	268									58				
16	16	62	62	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	269									58				
16	16	125/2	125/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	270									58				
16	16	63	63	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	271													
16	16	129/2	129/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	272													
16	16	65	65	0.0	7/8	7/8	Spanner	9/8	1	1	0														0			
16	16	65	65	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	273									59	0			
16	16	131/2	131/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	274									59	0			
16	16	123/2	123/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	275									60				
16	16	62	62	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	276									60				
16	16	125/2	125/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	277													
16	16	63	63	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	278									61				
16	16	127/2	127/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	279									61				
16	16	64	64	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	280													
16	16	129/2	129/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	281									62				
16	16	65	65	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	282									62				
16	16	131/2	131/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	283													
16	16	123/2	123/2	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	284													
16	16	63	63	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	285													
16	16	129/2	129/2	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	286													
17	17	66	66	0.0	0	0	Spanner	9/8	1	1	0													59				
17	17	66	66	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	287		articTenutoAbove							59				
17	17	135/2	135/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	288									59				
17	17	68	68	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	289									59				
17	17	137/2	137/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	290									59				
17	17	69	69	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	291									59				
17	17	139/2	139/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	292									59				
17	17	70	70	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	293													
17	17	66	66	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	294									63				
17	17	133/2	133/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	295									63				
17	17	67	67	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	296													
17	17	135/2	135/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	297									64				
17	17	68	68	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	298									64				
17	17	137/2	137/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	299													
17	17	69	69	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	300									65				
17	17	139/2	139/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	301									65				
17	17	70	70	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	302													
17	17	66	66	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	303													
17	17	135/2	135/2	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	304													
17	17	69	69	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	305													
18	18	141/2	141/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	306									66				
18	18	71	71	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	307									66				
18	18	143/2	143/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	308									66				
18	18	72	72	0.0	3/8	3/8	Spanner	9/8	1	1	0													66		5		
18	18	72	72	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	309									66		5		
18	18	147/2	147/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	310									66		5		
18	18	74	74	0.0	7/8	7/8	Spanner	9/8	1	1	0													66				
18	18	74	74	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	311									66				
18	18	149/2	149/2	0.0	1	1	Spanner	9/8	1	1	0																	1
18	18	149/2	149/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	312													1
18	18	141/2	141/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	313									67				
18	18	71	71	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	314									67				
18	18	143/2	143/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	315													
18	18	72	72	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	316									68				
18	18	145/2	145/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	317									68				
18	18	73	73	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	318													
18	18	147/2	147/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	319									69				
18	18	74	74	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	320									69				
18	18	149/2	149/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	321													
18	18	141/2	141/2	1.0	0	0	Chord	9/8	2	2	1/4		1/4	1	322													
18	18	72	72	1.0	3/8	3/8	Chord	9/8	2	2	1/4		1/4	1	323													
18	18	147/2	147/2	1.0	3/4	3/4	Chord	9/8	2	2	1/4		1/4	1	324													
19	19	75	75	0.0	0	0	Spanner	9/8	1	1	0																	
19	19	75	75	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	325									70				
19	19	151/2	151/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	326									70				
19	19	76	76	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	327									70				
19	19	153/2	153/2	0.0	3/8	3/8	Spanner	9/8	1	1	0													70			6	
19	19	153/2	153/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	328									70			6	
19	19	77	77	0.0	1/2	1/2	Spanner	9/8	1	1	0													70		6	6	
19	19	77	77	1.0	1/2	1/2	Chord	9/8	1	1	1/4		1/4	1	329		articTenutoBelow							70		6	6	
19	19	78	78	0.0	3/4	3/4	Spanner	9/8	1	1	0													70				
19	19	78	78	0.0	3/4	3/4	Spanner	9/8	1	1	0													70				
19	19	78	78	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	330									70				
19	19	157/2	157/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	331									70				
19	19	315/4	315/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	332									70				
19	19	79	79	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	333									70				
19	19	317/4	317/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	334													
19	19	75	75	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	335									71				
19	19	151/2	151/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	336									71				
19	19	76	76	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	337													
19	19	153/2	153/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	338									72				
19	19	77	77	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	339									72				
19	19	155/2	155/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	340													
19	19	78	78	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	341									73				
19	19	157/2	157/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	342									73				
19	19	79	79	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	343													
19	19	75	75	0.0	0	0	Dynamic	9/8	2	2	0					p												
19	19	75	75	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	344													
19	19	153/2	153/2	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	345													
19	19	78	78	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	346													
20	20	159/2	159/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	347									74				
20	20	80	80	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	348									74				
20	20	161/2	161/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	349									74				
20	20	81	81	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	350									74				
20	20	163/2	163/2	1.0	1/2	1/2	Chord	9/8	1	1	1/4		1/4	1	351		articTenutoBelow											
20	20	165/2	165/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	352													
20	20	83	83	0.0	7/8	7/8	Spanner	9/8	1	1	0																7	
20	20	83	83	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	353									75			7	
20	20	333/4	333/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	354									75			7	
20	20	167/2	167/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	355									75			7	
20	20	335/4	335/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	356									75			7	
20	20	159/2	159/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	357									76				
20	20	80	80	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	358									76				
20	20	161/2	161/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	359													
20	20	81	81	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	360									77				
20	20	163/2	163/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	361									77				
20	20	82	82	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	362													
20	20	165/2	165/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	363									78				
20	20	83	83	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	364									78				
20	20	167/2	167/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	365													
20	20	159/2	159/2	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	366													
20	20	81	81	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	367													
20	20	165/2	165/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	368													
21	21	84	84	0.0	0	0	Spanner	6/8	1	1	0																	
21	21	84	84	0.0	0	0	Spanner	6/8	1	1	0															7		
21	21	84	84	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	369		articTenutoAbove									7		
21	21	171/2	171/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	370											7		
21	21	86	86	0.0	1/2	1/2	Spanner	6/8	1	1	0																	
21	21	86	86	0.0	1/2	1/2	Spanner	6/8	1	1	0																8	
21	21	86	86	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	371									79			8	
21	21	345/4	345/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	372									79			8	
21	21	173/2	173/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	373									79			8	
21	21	347/4	347/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	374									79			8	
21	21	84	84	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	375									80				
21	21	169/2	169/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	376									80				
21	21	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	377													
21	21	171/2	171/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	378									81				
21	21	86	86	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	379									81				
21	21	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	380													
21	21	84	84	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	381													
21	21	171/2	171/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	382													
22	22	87	87	0.0	0	0	Spanner	6/8	1	1	0																	
22	22	87	87	0.0	0	0	Spanner	6/8	1	1	0															8		
22	22	87	87	0.0	0	0	Spanner	6/8	1	1	0														1	8		
22	22	87	87	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	383		articTenutoAbove								1	8		
22	22	177/2	177/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														1			
22	22	177/2	177/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	384										1			
22	22	89	89	0.0	1/2	1/2	Spanner	6/8	1	1	0														1		9	
22	22	89	89	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	385									82	1		9	
22	22	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	386									82	1		9	
22	22	87	87	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	387									83				
22	22	175/2	175/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	388									83				
22	22	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	389													
22	22	177/2	177/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	390									84				
22	22	89	89	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	391									84				
22	22	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	392													
22	22	87	87	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	393													
22	22	177/2	177/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	394													
23	23	90	90	0.0	0	0	Spanner	6/8	1	1	0																	
23	23	90	90	0.0	0	0	Spanner	6/8	1	1	0																	
23	23	90	90	0.0	0	0	Spanner	6/8	1	1	0															9		
23	23	90	90	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	395		articTenutoAbove									9		
23	23	183/2	183/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																	
23	23	183/2	183/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	396													
23	23	92	92	0.0	1/2	1/2	Spanner	6/8	1	1	0																10	
23	23	92	92	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	397									85			10	
23	23	185/2	185/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	398									85			10	
23	23	90	90	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	399									86				
23	23	181/2	181/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	400									86				
23	23	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	401													
23	23	183/2	183/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	402									87				
23	23	92	92	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	403									87				
23	23	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	404													
23	23	90	90	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	405													
23	23	183/2	183/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	406													
24	24	93	93	0.0	0	0	StaffText	6/8	1	1	0							"dim.
"						85				
24	24	93	93	0.0	0	0	Spanner	6/8	1	1	0													85				
24	24	93	93	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	407									85				
24	24	187/2	187/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	408									85				
24	24	94	94	0.0	1/4	1/4	StaffText	6/8	1	1	0							e						85				
24	24	94	94	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	409									85				
24	24	189/2	189/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							rit.										
24	24	189/2	189/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16after	1/16	1	410									88				
24	24	189/2	189/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16after	1/16	1	411									88				
24	24	189/2	189/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	412		ornamentTrill							88				
24	24	93	93	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	413									89				
24	24	187/2	187/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	414									89				
24	24	94	94	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	415													
24	24	189/2	189/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	416													
24	24	95	95	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	417													
24	24	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	418													
24	24	93	93	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	419													
24	24	189/2	189/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	420									90				
24	24	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	421													
25	25	96	96	0.0	0	0	Dynamic	6/8	1	1	0					p												
25	25	96	96	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	422													
25	25	96	96	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	423													
25	25	193/2	193/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	424													
25	25	97	97	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	425									91				
25	25	195/2	195/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	426									91				
25	25	98	98	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	427													
25	25	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	428									92				
25	25	96	96	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	429									93				
25	25	97	97	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	430													
25	25	195/2	195/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	431													
25	25	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	432													
26	26	99	99	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	433													
26	26	99	99	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	434									92				
26	26	199/2	199/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	435													
26	26	99	99	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	436													
