mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
21	21	0	0	9/8	2	1	i}{	d	i		i		i							}{	m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	0.75	0.0
21	21	3/16	3/16	9/8	2	1	#vii	d	i		#vii		#vii								m	1	1	7, 4, 8		7	7	0	16	0.0	0.0	1.5	0.0
21	21	3/8	3/8	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	0	8	0.0	0.0	1.0	0.0
21	21	9/16	9/16	9/8	2	1	#vii64	d	i		#vii64		#vii		64						m	1	1	8, 7, 4		7	8	0	16	0.0	0.0	1.5	0.0
21	21	3/4	3/4	9/8	2	1	i64	d	i		i64		i		64						m	1	1	3, 2, -1		2	3	0	8	0.0	0.0	1.0	0.0
21	21	15/16	15/16	9/8	2	1	iii	d	i		iii		iii								m	1	1	-1, -4, 0		-1	-1	0	16	0.0	0.0	1.5	0.0
22	22	0	0	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	0	8	0.0	0.0	1.0	0.0
22	22	3/16	3/16	9/8	2	1	vi	d	i		vi		vi								m	1	1	-2, -5, -1		-2	-2	0	16	0.0	0.0	1.5	0.0
22	22	3/8	3/8	9/8	2	1	VII	d	i		VII		VII								M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.0	0.0
22	22	9/16	9/16	9/8	2	1	bv	d	i		bv		bv								m	1	1	-4, -7, -3		-4	-4	0	16	0.0	0.0	1.5	0.0
22	22	3/4	3/4	9/8	2	1	VI	d	i		VI		VI								M	1	1	-2, 2, -1		-2	-2	0	8	0.0	0.0	1.0	0.0
22	22	15/16	15/16	9/8	2	1	#iii	d	i		#iii		#iii								m	1	1	6, 3, 7		6	6	0	16	0.0	0.0	1.5	0.0
23	23	0	0	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.0625	0.625	0.09090909090909091
23	23	1/4	1/4	9/8	2	1	#viio2(#5)	d	i		#viio2(#5)		#vii	o	2	#5					o7	1	1	-2, 7, 4, 8		7	-2	0	5	0.0	0.0	0.625	0.0
23	23	3/8	3/8	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.0625	0.625	0.09090909090909091
23	23	5/8	5/8	9/8	2	1	#vii64	d	i		#vii64		#vii		64						m	1	1	8, 7, 4		7	8	0	5	0.0	0.0	0.625	0.0
23	23	3/4	3/4	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.0625	0.625	0.09090909090909091
23	23	1	1	9/8	2	1	#iii7	d	i		#iii7		#iii		7						mm7	1	1	6, 3, 7, 4		6	6	1	4	0.2	0.125	0.5	0.2
24	24	0	0	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.0625	0.4375	0.125
24	24	1/8	1/8	9/8	2	1	V+7/VI	d	i		V+7/VI		V	+	7		VI				+7	1	1	-1, 3, 7, -3		-1	-1	0	5	0.0	0.0	0.625	0.0
24	24	1/4	1/4	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.0625	0.4375	0.125
24	24	3/8	3/8	9/8	2	1	V2/#vi	d	i		V2/#vi		V		2		#vi				Mm7	1	1	4, 6, 10, 7		6	4	0	5	0.0	0.0	0.625	0.0
24	24	1/2	1/2	9/8	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.0625	0.4375	0.125
24	24	5/8	5/8	9/8	2	1	Fr43/iv	d	i		Fr43/iv	Fr	V		43	b5	V/iv				Fr	1	1	-3, 1, 3, 7		3	-3	0	5	0.0	0.0	0.625	0.0
24	24	3/4	3/4	9/8	2	1	V(4)	d	i		V(4)		V			4					M	1	1	3, 2, 4		3	3	1	4	0.2	0.125	0.5	0.2
24	24	7/8	7/8	9/8	2	1	i|PAC}	d	i		i		i						PAC	}	m	1	1	2, -1, 3		2	2	0	35	0.0	0.0	6.5	0.0
28	28	0	0	4/4	2	1	i[iM7{	d	i	i	iM7		i	M	7					{	mM7	1	1	2, -1, 3, 7		2	2	2	17	0.10526315789473684	0.20833333333333334	1.875	0.09999999999999999
29	29	0	0	4/4	2	1	V7(9)	d	i		V7(9)		V		7	9					Mm7	1	1	3, 7, 4, 1	-2	3	3	3	18	0.14285714285714285	0.25	1.75	0.125
30	30	0	0	4/4	2	1	V7(9)/iv	d	i		V7(9)/iv		V		7	9	iv				Mm7	1	1	2, 6, 3, 0	-3	2	2	0	21	0.0	0.0	2.0	0.0
31	31	0	0	4/4	2	1	viio7/V	d	i		viio7/V		vii	o	7		V				o7	1	1	8, 5, 2, -1		8	8	1	10	0.09090909090909091	0.0625	0.9375	0.0625
31	31	1/2	1/2	4/4	2	1	V7(b5)	d	i		V7(b5)		V		7	b5					Mm7	1	1	3, 7, -3, 1		3	3	4	7	0.36363636363636365	0.2916666666666667	0.7083333333333334	0.2916666666666667
32	32	0	0	4/4	2	1	IM7}{	d	i		IM7		I	M	7					}{	MM7	1	1	2, 6, 3, 7		2	2	0	18	0.0	0.0	2.1666666666666665	0.0
33	33	0	0	4/4	2	1	i7	d	i		i7		i		7						mm7	1	1	2, -1, 3, 0		2	2	1	18	0.05263157894736842	0.125	2.0416666666666665	0.057692307692307696
34	34	0	0	2/4	2	1	IV2	d	i		IV2		IV		2						Mm7	1	1	-1, 1, 5, 2		1	-1	4	8	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3333333333333333
35	35	0	0	4/4	2	1	VI7	d	i		VI7		VI		7						Mm7	1	1	-2, 2, -1, -4		-2	-2	0	9	0.0	0.0	1.4166666666666667	0.0
35	35	1/2	1/2	4/4	2	1	ivM7	d	i		ivM7		iv	M	7						mM7	1	1	1, -2, 2, 6		1	1	3	7	0.3	0.4166666666666667	0.6666666666666666	0.38461538461538464
36	36	0	0	3/4	2	1	IV65	d	i		IV65		IV		65						Mm7	1	1	5, 2, -1, 1		1	5	2	9	0.18181818181818182	0.20833333333333334	1.4583333333333333	0.12500000000000003
36	36	1/2	1/2	3/4	2	1	bV7(6)	d	i		bV7(6)		bV		7	6					Mm7	1	1	-4, 0, -1, -6		-4	-4	2	4	0.3333333333333333	0.16666666666666666	0.8333333333333334	0.16666666666666666
37	37	0	0	3/4	2	1	i(94)}{	d	i		i(94)		i			94				}{	m	1	1	2, 1, 3	4	2	2	0	5	0.0	0.0	1.4166666666666667	0.0
37	37	1/4	1/4	3/4	2	1	i	d	i		i		i								m	1	1	2, -1, 3		2	2	2	6	0.25	0.20833333333333334	1.4166666666666667	0.12820512820512822
38	38	0	0	3/4	2	1	VI(94)	d	i		VI(94)		VI			94					M	1	1	-2, 4, -1	0	-2	-2	1	5	0.16666666666666666	0.08333333333333333	2.0833333333333335	0.03846153846153846
38	38	1/4	1/4	3/4	2	1	VI	d	i		VI		VI								M	1	1	-2, 2, -1		-2	-2	4	6	0.4	0.4166666666666667	1.0833333333333333	0.2777777777777778
39	39	0	0	3/4	2	1	VI(94)	d	i		VI(94)		VI			94					M	1	1	-2, 4, -1	0	-2	-2	4	2	0.6666666666666666	1.3333333333333333	0.3333333333333333	0.8
39	39	1/4	1/4	3/4	2	1	IV64	d	i		IV64		IV		64						M	1	1	2, 1, 5		1	2	1	4	0.2	0.08333333333333333	0.5	0.14285714285714285
39	39	1/2	1/2	3/4	2	1	bIV(b13)	d	i		bIV(b13)		bIV			b13					M	1	1	-6, -2, -5	-3	-6	-6	2	4	0.3333333333333333	0.16666666666666666	0.8333333333333334	0.16666666666666666
40	40	0	0	3/4	2	1	I]	d	i		I		I					]			M	1	1	2, 6, 3		2	2	0	7	0.0	0.0	2.875	0.0
41	41	0	0	3/4	2	1	III{	d	i		III		III							{	M	1	1	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.375	2.625	0.125
42	42	0	0	3/4	2	1	V/III	d	i		V/III		V				III				M	1	1	0, 4, 1		0	0	1	6	0.14285714285714285	0.125	2.25	0.05263157894736842
42	42	1/2	1/2	3/4	2	1	V43/#vi	d	i		V43/#vi		V		43		#vi				Mm7	1	1	7, 4, 6, 10		6	7	0	5	0.0	0.0	1.25	0.0
43	43	0	0	3/4	2	1	i(b9)	d	i		i(b9)		i			b9					m	1	1	2, -1, 3	-3	2	2	0	6	0.0	0.0	1.0	0.0
43	43	1/4	1/4	3/4	2	1	ii%65	d	i		ii%65		ii	%	65						%7	1	1	1, -2, 2, 4		4	1	0	5	0.0	0.0	1.0	0.0
43	43	1/2	1/2	3/4	2	1	V7	d	i		V7		V		7						Mm7	1	1	3, 7, 4, 1		3	3	0	8	0.0	0.0	1.5	0.0
44	44	1/4	1/4	3/4	2	1	i|PAC	d	i		i		i						PAC		m	1	1	2, -1, 3		2	2	0	10	0.0	0.0	1.25	0.0
